id,aptId,landlordId,overallRating,detailedRatings.location,detailedRatings.safety,detailedRatings.value,detailedRatings.maintenance,detailedRatings.communication,detailedRatings.condition,reviewText,date
,,2,,,,,,,,"I recently moved into this specific apartment just at the start of June. Thus far, I have had nothing significantly noteworthy in terms of complaints regarding management or the building. The apartment was predominantly clean when I moved in, with only minor issues. One apartment issue - electrical related - I have yet to hear back on besides ""We'll contact the electrician."" I've taken to not using the outlets which pose reliability issues. 

I am able to provide experiences about previous landlords over the years in Ithaca. (Most of which were not stellar)",6/17/2020
,,14,5,5,4,4,4,4,4,I've really enjoyed this apartment. I lived in an apartment of 6 and it was still quite spacious for us. My only gripes would be the kitchen is a little too small for 6 people and the drying/washer machines are kind of weak.,4/10/2021 13:25:38
,,15,5,5,4,4,5,5,4,"I've enjoyed my time living at 312 College Ave. The rent is high but you do get what you pay for. The location is good and I've had no complaints about the staff, maintenance, security, or anything like that. Utilities except for electricity are also covered. My kitchen was recently upgraded for free which is a plus. My only problem with this apartment is its price.",3/31/2021 17:34:03
,,16,4,1,3,4,4,4,4,"I enjoy the cheap, affordable living space as well as the cheap parking. However, it is too far from campus and Collegetown, and there is an extra slope to walk up in order to go anywhere.",3/31/2021 23:48:33
,,12,4,4,4,4,4,4,4,"Pretty spacious, reasonable rent price, and an overall good place to live! It's pretty close to Collegetown so location is also convenient. Apartment was pretty clean when we moved in!",3/30/2021 21:18:01
,,12,3,4,4,5,2,2,3,"Overall my experience has been pretty good outside of maintenance issues. The location is very close to campus and the apartment is quite spacious for something at this price point. Furthermore, since the apartment is mirrored, we have two of everything, like kitchens, appliances, bathrooms, etc. which is quite convenient. If you're not worried about having the nicest apartment or dealing with maintenance, it is a fine apartment!",3/30/2021 14:54:18
,,8,4,4,4,5,5,3,5,"Great location to everything and right above Greenstar. Everything is good and the rooms are really pretty. Floors are very sturdy so you can exercise in it. Walls are kind of thin and you can hear roommates. Bathroom and kitchen facilities are average. Rooms are really big but the shared living space is smaller than expected. The major downside I have of the apartment is that I live on the college avenue side on the 2nd floor so I can hear everything outside. It is really annoying and wakes me up in the morning and keeps up at night. If it was a normal semester it would be 100x more annoying with the parties in Collegetown. It is a good apartment, but I do not think it is worth the price. Also, I would not live in the same room again because the noise from the street was too annoying. I think people in other locations of the apartment wouldn't have that complaint though.",3/31/2021 19:44:59
,,4,4,4,4,3,5,3,5,"I think overall it's pretty good but during COVID-19, they are not being very understanding. For example, many international students weren't able to travel back to Ithaca and they hoped to defer or terminate the lease. However, the CTT staff won't allow termination of lease at all and we must sublet the house with a lower rate by ourselves. At the same time, they allowed certain tenants to defer the lease, which is very unfair and confusing.",3/31/2021 0:08:31
,,5,2,4,3,2,2,1,1,"The landlord is very hard to deal with. When I first moved in she said she cleaned the apartment and shampooed the carpets before our move in date, but it was very clear that she did neither; the carpets had large stains all over them and the apartment didn't look like it had been cleaned anytime recently. In the begining of the fall semester, she scheduled a tour without letting us know and people just randomly and unexpectedly walked into the apartment. Besides that, the apartment is not well maintained. It needs new furniture and the carpets need to be cleaned. I would not recommend this place to anyone. ",4/3/2021 21:32:53
,,5,1,4,3,2,1,2,1,"Overall, the apartment itself is spacious and in a good location a 15 min walk to campus. It had the potential to be a good apt because of its space and location but all the other issues made the experience really bad. The landlord was often rude and not understanding; she made us pay 7 months of rent (2 months security deposit and 5 months shortly after) before our lease started and before we even got the keys. At the time, the pandemic had just started and everything was up in the air, and we didn't know what our plans were, and she was threatening to press charges a whole week before the 5 months of rent was even due.",4/10/2021 13:46:10
,,13,5,5,5,5,5,5,5,"Renting at this location has been my best rental experience in Ithaca! The biggest pro is that it's an excellent value - the property is so well renovated and taken care of that living in the unit is seamless, and the proximity to several locations cannot be beaten. ",3/30/2021 18:31:58
,,6,3,4,5,4,4,4,4,"The landlord is pretty nice, and the location and living conditions are decent. The views outside the window are not great though, and the price is a bit steep (probably because of the location). Rent needs to be paid via check, which is inconvenient if you're not in Ithaca. Trash and laundry are not included in the rent, and if you need parking you need to buy a spot through a third party.",3/29/2021 23:58:10
,,6,3,4,5,4,4,4,4,"The landlord is pretty nice, and the location and living conditions are decent. The views outside the window are not great though, and the price is a bit steep (probably because of the location). Rent needs to be paid via check, which is inconvenient if you're not in Ithaca. Trash and laundry are not included in the rent, and if you need parking you need to buy a spot through a third party.",3/29/2021 23:58:16
,,10,4,5,4,2,3,3,2,"The apartment is on the expensive side for its condition and maintenance. The positive thing is its location, which is really close to campus. The room is small and the condition is below average. No soundproof which can be annoy at times. ",3/31/2021 23:30:14
,,10,3,4,5,3,5,4,3,Pretty good - kind of rough for corona since it is a little small at times and Ithaca collegetown kids do pull up outside late at night because it's on a more major road.,4/4/2021 22:53:05
,,10,5,5,4,4,4,5,5,"Despite the rather expensive pricing, the location (right in the heart of Collegetown) covers most of the small issues. Plus, although this might be a unique advantage of high floor apartments, the street noise is nearly inaudible. ",4/8/2021 11:40:13
,,10,4,4,4,4,4,4,4,"Pretty good, staff are friendly and responsive. The rent is pretty reasonable compare to other apartments in college town. Super convenient, everything is right downstairs. Need to pick up packages from ithaca renting office.",4/10/2021 13:24:33
,,10,4,5,4,5,4,4,3,"The value is the best part -- only around $765 for a single in the heart of collegetown. It feels a bit jank since you share two bathrooms and a kitchen with the rest of the floor, and it looks run-down on both the inside and outside, but for the price and location I'm not complaining.

Maintenance is also good. They have someone who is always on call and can come within an hour or so. There was one time where I was locked out of my apartment because the door jammed and I called but they didn't come until next morning so I slept on the couch in the common area, but besides that they've been great.",4/10/2021 13:24:48
,,10,4,5,5,4,4,4,4,The apartment is decently prices and the location is great. The only downside is that we need to physically go to the office to pick up our packages. Maintenance sometimes takes a long time.,4/10/2021 13:22:36
